OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_10KM;FID_ne_50m_coastline_Test_Clip_Bufffer10km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
1;2;1;-1;4;97
2;2;1;-1;4;444
3;2;1;-1;4;192
4;2;1;-1;4;141
5;2;1;-1;4;75
6;2;1;-1;4;22
7;2;1;-1;4;294
8;2;1;-1;4;219
9;2;1;-1;4;148
10;2;1;-1;4;154
11;2;1;-1;4;177
12;2;1;-1;4;179
13;2;1;-1;4;41
14;2;1;-1;4;135
15;2;1;-1;4;185
16;2;1;-1;4;151
17;2;1;-1;4;174
18;2;1;-1;4;19
19;2;1;-1;4;35
20;2;1;-1;4;40
21;2;1;-1;4;102
22;2;1;-1;4;35
23;2;1;-1;4;221
24;2;1;-1;4;249
25;2;1;-1;4;283
26;2;1;-1;4;689
27;2;1;-1;4;324
28;2;1;-1;4;610
29;2;1;-1;4;35
30;2;1;-1;4;194
31;2;1;-1;4;184
32;2;1;-1;4;172
33;2;1;-1;4;176
34;2;1;-1;4;206
35;2;1;-1;4;104
36;2;1;-1;4;207
37;2;1;-1;4;375
38;2;1;-1;4;307
39;2;1;-1;4;26
40;2;1;-1;4;78
41;2;1;-1;4;17
42;2;1;-1;4;0
43;2;1;-1;4;6
44;2;1;-1;4;36
45;2;1;-1;4;197
46;2;1;-1;4;134
47;2;1;-1;4;42
48;2;1;-1;4;7
49;2;1;-1;4;455
50;2;1;-1;4;191
51;2;1;-1;4;753
52;2;1;-1;4;1112
53;2;1;-1;4;307
54;2;1;-1;4;383
55;2;1;-1;4;268
56;2;1;-1;4;543
57;2;1;-1;4;430
58;2;1;-1;4;265
59;2;1;-1;4;6
60;2;1;-1;4;186
61;2;1;-1;4;439
62;2;1;-1;4;345
63;2;1;-1;4;236
64;2;1;-1;4;264
65;2;1;-1;4;367
66;2;1;-1;4;272
67;2;1;-1;4;94
68;2;1;-1;4;146
69;2;1;-1;4;29
70;2;1;-1;4;196
71;2;1;-1;4;136
72;2;1;-1;4;366
73;2;1;-1;4;730
74;2;1;-1;4;634
75;2;1;-1;4;572
76;2;1;-1;4;767
77;2;1;-1;4;108
78;2;1;-1;4;549
79;2;1;-1;4;222
80;2;1;-1;4;439
81;2;1;-1;4;327
82;2;1;-1;4;593
83;2;1;-1;4;269
84;2;1;-1;4;47
85;2;1;-1;4;152
86;2;1;-1;4;660
87;2;1;-1;4;500
88;2;1;-1;4;97
89;2;1;-1;4;319
90;2;1;-1;4;207
91;2;1;-1;4;55
92;2;1;-1;4;210
93;2;1;-1;4;10
94;1;1;-1;4;273
95;1;1;-1;4;98
96;2;1;-1;4;331
97;2;1;-1;4;220
98;2;1;-1;4;394
99;2;1;-1;4;89
100;2;1;-1;4;50
101;2;1;-1;4;45
102;2;1;-1;4;27
103;2;1;-1;4;161
104;2;1;-1;4;370
105;2;1;-1;4;411
106;2;1;-1;4;461
107;2;1;-1;4;195
108;2;1;-1;4;267
109;2;1;-1;4;200
110;2;1;-1;4;182
111;2;1;-1;4;282
112;2;1;-1;4;368
113;2;1;-1;4;226
114;2;1;-1;4;125
115;2;1;-1;4;86
116;2;1;-1;4;334
117;2;1;-1;4;107
118;2;1;-1;4;88
119;2;1;-1;4;156
120;2;1;-1;4;224
121;2;1;-1;4;216
122;2;1;-1;4;33
123;2;1;-1;4;43
124;2;1;-1;4;37
125;2;1;-1;4;142
126;2;1;-1;4;163
127;2;1;-1;4;273
128;2;1;-1;4;71
129;2;1;-1;4;149
130;2;1;-1;4;182
131;2;1;-1;4;93
132;2;1;-1;4;92
133;2;1;-1;4;89
134;2;1;-1;4;222
135;2;1;-1;4;153
136;2;1;-1;4;280
137;2;1;-1;4;236
138;2;1;-1;4;246
139;2;1;-1;4;209
140;2;1;-1;4;134
141;2;1;-1;4;98
142;2;1;-1;4;208
143;2;1;-1;4;46
144;2;1;-1;4;186
145;2;1;-1;4;219
146;2;1;-1;4;224
147;2;1;-1;4;272
148;2;1;-1;4;248
149;2;1;-1;4;182
150;2;1;-1;4;213
151;2;1;-1;4;228
152;2;1;-1;4;214
153;2;1;-1;4;143
154;2;1;-1;4;134
155;2;1;-1;4;108
156;2;1;-1;4;88
157;2;1;-1;4;103
158;2;1;-1;4;49
159;2;1;-1;4;45
