OID_;ORIG_FID;FID_ne_50m_coastline_Tes_SymDiff_Buffer_20KM;FID_ne_50m_coastline_Test_Clip_Buffer20km;FID_ne_50m_coastli_Testmap_ToPoly;Australia_elevation
1;1;1;-1;4;305
2;1;1;-1;4;19
3;1;1;-1;4;185
4;1;1;-1;4;115
5;1;1;-1;4;317
6;1;1;-1;4;339
7;1;1;-1;4;153
8;1;1;-1;4;245
9;1;1;-1;4;321
10;1;1;-1;4;210
11;1;1;-1;4;257
12;1;1;-1;4;188
13;1;1;-1;4;295
14;1;1;-1;4;345
15;1;1;-1;4;368
16;1;1;-1;4;213
17;1;1;-1;4;208
18;1;1;-1;4;534
19;1;1;-1;4;176
20;1;1;-1;4;406
21;1;1;-1;4;142
22;1;1;-1;4;408
23;1;1;-1;4;372
24;1;1;-1;4;482
25;1;1;-1;4;304
26;1;1;-1;4;231
27;1;1;-1;4;367
28;1;1;-1;4;271
29;1;1;-1;4;302
30;1;1;-1;4;253
31;1;1;-1;4;179
32;1;1;-1;4;290
33;1;1;-1;4;201
34;1;1;-1;4;200
35;1;1;-1;4;318
36;1;1;-1;4;129
37;1;1;-1;4;169
38;1;1;-1;4;345
39;1;1;-1;4;333
40;1;1;-1;4;325
41;1;1;-1;4;216
42;1;1;-1;4;194
43;1;1;-1;4;351
44;1;1;-1;4;227
45;1;1;-1;4;289
46;1;1;-1;4;285
47;1;1;-1;4;294
48;1;1;-1;4;73
49;1;1;-1;4;180
50;1;1;-1;4;193
51;1;1;-1;4;472
52;1;1;-1;4;289
53;1;1;-1;4;127
54;1;1;-1;4;386
55;1;1;-1;4;119
56;1;1;-1;4;791
57;1;1;-1;4;156
58;1;1;-1;4;131
59;1;1;-1;4;231
60;1;1;-1;4;877
61;1;1;-1;4;656
62;1;1;-1;4;113
63;1;1;-1;4;669
64;1;1;-1;4;145
65;1;1;-1;4;35
66;1;1;-1;4;42
67;1;1;-1;4;110
68;1;1;-1;4;176
69;1;1;-1;4;336
70;1;1;-1;4;661
71;1;1;-1;4;939
72;1;1;-1;4;634
73;1;1;-1;4;802
74;1;1;-1;4;768
75;1;1;-1;4;661
76;1;1;-1;4;387
77;1;1;-1;4;513
78;1;1;-1;4;364
79;1;1;-1;4;319
80;1;1;-1;4;417
81;1;1;-1;4;473
82;1;1;-1;4;649
83;1;1;-1;4;389
84;1;1;-1;4;831
85;1;1;-1;4;582
86;1;1;-1;4;538
87;1;1;-1;4;964
88;1;1;-1;4;190
89;1;1;-1;4;170
90;1;1;-1;4;180
91;1;1;-1;4;789
92;1;1;-1;4;342
93;1;1;-1;4;730
94;1;1;-1;4;475
95;1;1;-1;4;369
96;1;1;-1;4;459
97;1;1;-1;4;381
98;1;1;-1;4;414
99;1;1;-1;4;534
100;1;1;-1;4;610
101;1;1;-1;4;488
102;1;1;-1;4;412
103;1;1;-1;4;473
104;1;1;-1;4;519
105;1;1;-1;4;174
106;1;1;-1;4;270
107;1;1;-1;4;413
108;1;1;-1;4;227
109;1;1;-1;4;163
110;1;1;-1;4;178
111;1;1;-1;4;197
112;1;1;-1;4;213
113;1;1;-1;4;455
114;1;1;-1;4;253
115;1;1;-1;4;248
116;1;1;-1;4;186
117;1;1;-1;4;186
118;1;1;-1;4;401
119;1;1;-1;4;339
120;1;1;-1;4;377
121;1;1;-1;4;394
122;1;1;-1;4;400
123;1;1;-1;4;410
124;1;1;-1;4;382
125;1;1;-1;4;251
126;1;1;-1;4;238
127;1;1;-1;4;132
128;1;1;-1;4;271
129;1;1;-1;4;130
130;1;1;-1;4;277
131;1;1;-1;4;260
132;1;1;-1;4;345
133;1;1;-1;4;306
134;1;1;-1;4;265
135;1;1;-1;4;172
136;1;1;-1;4;189
137;1;1;-1;4;173
138;1;1;-1;4;73
139;1;1;-1;4;110
140;1;1;-1;4;115
141;1;1;-1;4;37
142;1;1;-1;4;29
143;1;1;-1;4;63
144;1;1;-1;4;95
145;1;1;-1;4;29
146;1;1;-1;4;40
147;1;1;-1;4;213
148;1;1;-1;4;307
149;1;1;-1;4;276
150;1;1;-1;4;396
151;1;1;-1;4;288
152;1;1;-1;4;318
153;1;1;-1;4;261
154;1;1;-1;4;237
155;1;1;-1;4;161
156;1;1;-1;4;68
157;1;1;-1;4;92
158;1;1;-1;4;147
159;1;1;-1;4;199
160;1;1;-1;4;166
161;1;1;-1;4;103
162;1;1;-1;4;222
163;1;1;-1;4;376
