Age [ka],O2 [ppt],RSL [m]
0,-2.09,0
2,-1.91,-5.346534653
4,-1.74,-10.3960396
6,-1.41,-20.1980198
8,-1.02,-31.78217822
10,-0.44,-49.00990099
12,0.29,-70.69306931
14,1.01,-92.07920792
16,1.58,-109.009901
18,1.81,-115.8415842
20,1.78,-114.950495
22,1.65,-111.0891089
24,1.38,-103.0693069
26,1.14,-95.94059406
28,1.02,-92.37623762
30,0.96,-90.59405941
32,0.94,-90
34,0.94,-90
36,0.96,-90.59405941
38,0.94,-90
40,0.85,-87.32673267
42,0.77,-84.95049505
44,0.67,-81.98019802
46,0.59,-79.6039604
48,0.56,-78.71287129
50,0.5,-76.93069307
52,0.38,-73.36633663
54,0.37,-73.06930693
56,0.41,-74.25742574
58,0.5,-76.93069307
60,0.68,-82.27722772
62,0.89,-88.51485149
64,1,-91.78217822
66,0.93,-89.7029703
68,0.66,-81.68316832
70,0.22,-68.61386139
72,-0.24,-54.95049505
74,-0.53,-46.33663366
76,-0.69,-41.58415842
78,-0.88,-35.94059406
80,-0.98,-32.97029703
82,-0.77,-39.20792079
84,-0.48,-47.82178218
86,-0.45,-48.71287129
88,-0.47,-48.11881188
90,-0.46,-48.41584158
92,-0.52,-46.63366337
94,-0.71,-40.99009901
96,-0.8,-38.31683168
98,-0.98,-32.97029703
100,-0.96,-33.56435644
102,-0.8,-38.31683168
104,-0.69,-41.58415842
106,-0.59,-44.55445545
108,-0.51,-46.93069307
110,-0.5,-47.22772277
112,-0.73,-40.3960396
114,-1.19,-26.73267327
116,-1.53,-16.63366337
118,-1.72,-10.99009901
120,-1.98,-3.267326733
122,-2.12,0.891089109
124,-1.89,-5.940594059
126,-1.19,-26.73267327
128,-0.26,-54.35643564
130,0.51,-77.22772277
132,1.05,-93.26732673
134,1.33,-101.5841584
136,1.35,-102.1782178
138,1.28,-100.0990099
140,1.32,-101.2871287
142,1.33,-101.5841584
144,1.26,-99.5049505
146,1.26,-99.5049505
148,1.41,-103.960396
150,1.57,-108.7128713
152,1.58,-109.009901
154,1.45,-105.1485149
156,1.3,-100.6930693
158,1.07,-93.86138614
160,0.85,-87.32673267
162,0.6,-79.9009901
164,0.4,-73.96039604
166,0.25,-69.5049505
168,0.15,-66.53465347
170,0.11,-65.34653465
172,0.12,-65.64356436
174,0.18,-67.42574257
176,0.27,-70.0990099
178,0.47,-76.03960396
180,0.71,-83.16831683
182,0.83,-86.73267327
184,0.62,-80.4950495
186,0.11,-65.34653465
188,-0.42,-49.6039604
190,-0.88,-35.94059406
192,-1.31,-23.16831683
194,-1.62,-13.96039604
196,-1.62,-13.96039604
198,-1.41,-20.1980198
200,-1.17,-27.32673267
