OID_;id;id_cs;ate_avg;ate_min;ate_max;ate_stdev;GlobSedv2_Clip_ProjectRaster
1;10652;50076;-94,569999999999993;-27,000000000000000;-176,599999999999994;44,060000000000002;
2;10653;50077;-245,719999999999999;-4,800000000000000;-702,299999999999955;204,349999999999994;
3;10654;50078;-84,109999999999999;-3,900000000000000;-223,900000000000006;67,329999999999998;
4;10655;50079;-171,020000000000010;-35,799999999999997;-334,300000000000011;112,920000000000002;1105,8916016
5;10656;50080;-94,840000000000003;-24,800000000000001;-189,400000000000006;55,909999999999997;
6;10657;50081;-67,390000000000001;-52,299999999999997;-96,700000000000003;12,580000000000000;1106,2868652
7;10658;50082;-202,830000000000013;0,300000000000000;-693,000000000000000;236,460000000000008;1105,8713379
8;10659;50083;-239,789999999999992;-9,000000000000000;-519,899999999999977;159,830000000000013;
9;10660;50084;-183,460000000000008;-26,800000000000001;-415,199999999999989;131,080000000000013;
10;10661;50085;-167,419999999999987;-21,800000000000001;-496,500000000000000;133,719999999999999;
11;10662;50086;-83,459999999999994;-52,899999999999999;-257,800000000000011;59,090000000000003;
12;10663;50087;-423,800000000000011;-2,000000000000000;-850,799999999999955;339,220000000000027;
13;10664;50088;-122,280000000000001;-28,100000000000001;-273,199999999999989;65,730000000000004;
14;10665;50090;-115,670000000000002;-66,299999999999997;-164,500000000000000;40,090000000000003;1097,8505859
15;10666;50091;-355,100000000000023;-38,500000000000000;-1555,400000000000091;477,970000000000027;1096,2937012
16;10667;50092;-174,409999999999997;-57,200000000000003;-584,500000000000000;212,580000000000013;1095,0426025
17;10668;50093;-227,689999999999998;-13,600000000000000;-445,300000000000011;180,189999999999998;
18;10669;50095;-374,399999999999977;-5,200000000000000;-866,200000000000045;311,500000000000000;
19;10670;50096;-76,870000000000005;-2,400000000000000;-163,500000000000000;59,829999999999998;
20;10671;50097;-427,430000000000007;-186,400000000000006;-704,899999999999977;199,879999999999995;
21;10672;50098;-111,590000000000003;-0,400000000000000;-162,199999999999989;52,579999999999998;
22;10673;50099;-273,529999999999973;-3,900000000000000;-723,600000000000023;208,060000000000002;
23;10674;50100;-91,769999999999996;-24,500000000000000;-171,500000000000000;60,570000000000000;
24;10675;50101;-154,969999999999999;-25,000000000000000;-455,600000000000023;139,409999999999997;
25;10676;50103;-113,900000000000006;-31,500000000000000;-192,400000000000006;51,789999999999999;
26;10677;50105;-409,560000000000002;-178,699999999999989;-735,299999999999955;183,849999999999994;
27;10678;50106;-219,870000000000005;-13,900000000000000;-676,500000000000000;219,919999999999987;
28;10679;50107;-317,829999999999984;-16,399999999999999;-899,600000000000023;306,810000000000002;
29;10680;50108;-271,000000000000000;-0,500000000000000;-945,000000000000000;268,490000000000009;
30;10681;50109;-366,290000000000020;-14,199999999999999;-1238,000000000000000;397,360000000000014;
31;10682;50110;-105,349999999999994;-40,600000000000001;-156,300000000000011;41,850000000000001;
32;10683;50112;-797,200000000000045;-724,000000000000000;-833,799999999999955;51,759999999999998;
33;10684;50113;-392,230000000000018;-71,000000000000000;-756,799999999999955;288,050000000000011;
34;10685;50114;-44,969999999999999;-0,900000000000000;-82,700000000000003;31,730000000000000;
35;10686;50115;-202,400000000000006;-83,799999999999997;-396,899999999999977;138,069999999999993;
36;10687;50116;-324,430000000000007;-3,500000000000000;-494,600000000000023;191,629999999999995;
37;10688;50117;-504,310000000000002;-14,699999999999999;-1965,599999999999909;603,809999999999945;
38;10689;50118;-161,969999999999999;-13,500000000000000;-324,699999999999989;93,739999999999995;
39;10690;50119;-1091,849999999999909;-664,500000000000000;-1411,700000000000045;300,709999999999980;
40;10691;50120;-503,129999999999995;-84,599999999999994;-934,500000000000000;347,819999999999993;
41;10692;50121;-498,060000000000002;-9,699999999999999;-692,700000000000045;248,780000000000001;
42;10693;50122;-186,599999999999994;-51,799999999999997;-413,699999999999989;142,030000000000001;1077,9595947
43;10694;50123;-203,639999999999986;-19,300000000000001;-375,100000000000023;159,639999999999986;
